а;0.07998203713114076
б;0.017897871636393718
в;0.04951015729327929
г;0.019865514837093323
д;0.028705137144140205
е;0.08850849100083906
ж;0.01087817156903296
з;0.017815147898226167
и;0.07186329311383968
й;0.01429348018766471
к;0.03269360309150427
л;0.04762523783074723
м;0.030897316205580307
н;0.07383684515297982
о;0.11652229404743615
п;0.025774353277632684
р;0.04462354790295324
с;0.056441224784031956
т;0.05861567733015044
у;0.026282513383519068
ф;0.001678110117113178
х;0.009714130396246705
ц;0.0039057422091965163
ч;0.013879861496826953
ш;0.007167421028374242
щ;0.003403490941750671
ь;0.018370578711636866
ю;0.007031517744241837
я;0.02221723253642799
